Latitude (decimal degrees): 60.448
Longitude (decimal degrees): 22.297
Elevation (m): 29
month,year
1.2024
2.2024
3.2024
4.2024
5.2024
6.2024
7.2024
8.2024
9.2024
10.2024
11.2024
12.2024
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
2024-12-30 00:00:00,4.6,80,0.0,0.0,0.0,296,6.39,202,101193
2024-12-30 01:00:00,4.6,80,0.0,0.0,0.0,296,6.22,202,101193
2024-12-30 02:00:00,3.0,80,0.0,0.0,0.0,296,6.01,202,101193
2024-12-30 03:00:00,2.6,80,0.0,0.0,0.0,296,5.99,202,101193
2024-12-30 04:00:00,2.5,80,0.0,0.0,0.0,296,5.48,202,101193
2024-12-30 05:00:00,2.5,80,0.0,0.0,0.0,296,6.11,202,101193
2024-12-30 06:00:00,2.2,80,0.0,0.0,0.0,296,6.31,202,101193
2024-12-30 07:00:00,1.7,80,0.0,0.0,0.0,296,6.16,202,101193
2024-12-30 08:00:00,1.5,80,0.7652222222222222,8.823631718197928,0.5835833333333333,296,7.64,202,101193
2024-12-30 09:00:00,1.5,80,33.273222222222216,107.88702209294308,24.87444444444444,296,8.41,202,101193
2024-12-30 10:00:00,1.6,80,63.16563888888889,0.0015218333482103104,63.16547222222223,296,7.76,202,101193
2024-12-30 11:00:00,1.7,80,89.55469444444444,43.09441899783866,84.75627777777777,296,7.26,202,101193
2024-12-30 12:00:00,1.6,80,80.00652777777778,473.7222354998314,40.613861111111106,296,7.17,202,101193
2024-12-30 13:00:00,1.3,80,39.69483333333334,569.8427052983483,23.482333333333344,296,6.81,202,101193
2024-12-30 14:00:00,0.8,80,2.1878055555555815,0.0,1.581083333333356,296,6.79,202,101193
2024-12-30 15:00:00,0.5,80,0.0020833333333333333,0.0,0.0020833333333333333,296,5.76,202,101193
2024-12-30 16:00:00,0.3,80,8.333333328159318e-05,0.0005049561563723411,0.00022222222217048207,296,4.58,202,101193
2024-12-30 17:00:00,0.0,80,0.0,0.0,0.0,296,4.48,202,101193
2024-12-30 18:00:00,-0.2,80,0.0,0.0,0.0,296,3.96,202,101193
2024-12-30 19:00:00,-0.3,80,0.0,0.0,0.0,296,3.75,202,101193
2024-12-30 20:00:00,-0.4,80,0.0,0.0,0.0,296,3.23,202,101193
2024-12-30 21:00:00,-0.7,80,0.0,0.0,0.0,296,3.02,202,101193
2024-12-30 22:00:00,-1.0,80,0.0,0.0,0.0,296,3.25,202,101193
2024-12-30 23:00:00,-1.1,80,0.0,0.0,0.0,296,3.47,202,101193
